"company" "dividend" "yield" "earnings" "sales" "return_sales" "return_equity" "stock_prices"
"Cross" 0.17 3.9 3.61 95.1 15.4 29.9 30.1
"McDonough" 0.15 3.4 5.39 450.6 4.8 14.9 37.44
"Brunswick" 0.1 6 2.39 1257.3 4.1 10.4 17.1
"Leaseway.Trn." 0.17 3.9 3.62 937.2 4.6 20.6 32.4
"Mallinckrodt" 0.175 2.7 3.4 392.5 8.1 13.9 37.82
"Empl.Casualty" 0.21 3 5.55 178.8 9.6 23.6 47.01
"Lib.Natl.Life.Ins." 0.225 6.8 2.67 409.3 12.4 20.1 18.98
"Ohio.Casualty" 0.33 4.8 7.11 809.2 10.2 23.9 38.26
"Wstn.Cas.Surety" 0.35 4.7 7.7 330.8 9.3 18.2 43.64
"Kaneb.Services" 0.159 2.6 2.17 401.9 12 25.8 40.88
"Crane" 0.32 4.1 5.39 1573.2 3.5 14.7 34.43
"Am.Bnkrs.LifeAsr." 0.09 4 2.22 131 7.8 31.2 22.6
"Toronto.Dom.Bank" 0.34 4.5 2.8 2739 3.9 14.3 27.57
"Kennametal" 0.19 2.3 3.06 325.9 11.3 19.7 31.55
"Hyuck.Corp." 0.21 3.2 1.58 143 6.3 14 27.21
"Std.Brands.Paint" 0.18 2.4 2.7 182.7 7.8 16.2 36.69
"Nevada.Power" 0.61 11.7 3.37 175.1 9.8 13.1 15.24
"Heinz" 0.63 5 6.24 2924.8 4.9 16.4 34.34
"Nashua.Corp." 0.45 5.3 5.75 608.4 4.4 19 25.76
"HB.Fuller" 0.12 3.2 1.75 258.7 3.1 14 20.91
"Diebold.Inc." 0.26 1.7 3.19 305.2 6 15.3 32.92
"Kellogg" 0.45 6.9 2.13 1846.6 8.8 24.6 21.44
"Banco.de.Ponce" 0.451 7.3 4.96 107.7 7.1 13.3 20.98
"Fla." 1.02 10 4.22 1933.9 10.6 11.1 23.49
"Moore.Products" 0.31 2.7 2.84 48.3 11.8 19.8 32.33
"Meyer" 0.22 1.4 3.29 1060.2 2.1 14.3 33.77
"Eagle.Picher" 0.38 4.7 3.03 590 5.2 15.3 30.88
"Ctl.Tel.Ut." 0.88 8.6 3.34 750.5 11.1 15.1 19.19
"Gnl.Shale" 0.47 7.3 2.21 61.8 8.9 13.5 10.06
"MT.Dak.Util." 0.88 7.9 2.76 173.3 10.2 10.7 31.17
"So.Union" 0.98 4.2 4.78 724 4.7 19.6 39.93
